consecutive,date,Area,Route,Marsh_River_Canal,UTM_Easting,UTM_Northing,Water Depth,SV length,Weight,Sex,lnWeight,lnSVL,SizeClass,month,Season,year,WY,stud_resid,Groups
1,10/2/1999,LOX,Lox_Marsh,Marsh,571349,2931954,999,89.5,15.5,Female,2.740840024,4.494238625,Adult,10,Fall,1999,2000,0.245778186,Northeast
3,10/3/1999,ENP,ENP-FC,Marsh,528753,2834084,77,80,10.5,Female,2.351375257,4.382026635,Subadult,10,Fall,1999,2000,-0.070409673,Central
4,10/3/1999,ENP,ENP-SS,Marsh,524067,2837854,62,83,12.5,Male,2.525728644,4.418840608,Subadult,10,Fall,1999,2000,0.39473314,South
5,10/3/1999,LOX,Lox_Marsh,Marsh,567445,2931538,52,71.5,7.5,Male,2.014903021,4.26969745,Subadult,10,Fall,1999,2000,0.02737585,Northeast
6,10/3/1999,LOX,Lox_Marsh,Marsh,567984,2930874,57,87,13,Male,2.564949357,4.465908119,Subadult,10,Fall,1999,2000,-0.43579727,Northeast
8,10/3/1999,LOX,Lox_Marsh,Marsh,566664,2931555,56,88,17,Female,2.833213344,4.477336814,Adult,10,Fall,1999,2000,1.37024764,Northeast
9,10/3/1999,WCA2,WCA2A_Marsh,Marsh,568766,2914690,89.5,89,17.5,Female,2.862200881,4.48863637,Adult,10,Fall,1999,2000,1.322669163,Central
11,10/3/1999,WCA3AS,WCA3A-N41_Marsh,Marsh,520878,2857191,86,87,14,Male,2.63905733,4.465908119,Subadult,10,Fall,1999,2000,0.139162163,Central
12,10/3/1999,WCA3AS,WCA3A-N41_Marsh,Marsh,522912,2857199,88,84,11.75,Male,2.463853241,4.430816799,Adult,10,Fall,1999,2000,-0.374099279,Central
13,10/3/1999,WCA3AS,WCA3A-N41_Marsh,Marsh,518430,2850079,80,97,18,Male,2.890371758,4.574710979,Adult,10,Fall,1999,2000,-0.534256511,Central
14,10/4/1999,ENP,ENP-SS,Marsh,528722,2836908,75,88,13.75,Female,2.621038824,4.477336814,Subadult,10,Fall,1999,2000,-0.2761713,South
15,10/4/1999,ENP,ENP-FC,Marsh,528858,2838100,85,73.7,10.5,Female,2.351375257,4.300002799,Subadult,10,Fall,1999,2000,1.908491397,Central
16,10/4/1999,ENP,ENP-FC,Marsh,529935,2840261,93,89,13,Female,2.564949357,4.48863637,Subadult,10,Fall,1999,2000,-0.983858649,Central
17,10/4/1999,ENP,ENP-FC,Marsh,529797,2839923,95,88,13,Female,2.564949357,4.477336814,Subadult,10,Fall,1999,2000,-0.711366752,Central
